Time from Pickup to Arrival,Order No
1103,Order_No_7294
485,Order_No_2241
1035,Order_No_19883
842,Order_No_9893
1865,Order_No_12495
3172,Order_No_9828
896,Order_No_26757
681,Order_No_1295
1333,Order_No_7930
-241,Order_No_4241
2049,Order_No_19099
1869,Order_No_22896
1764,Order_No_14764
-33,Order_No_16910
937,Order_No_13303
1335,Order_No_838
2372,Order_No_2355
1627,Order_No_11381
1983,Order_No_1594
1560,Order_No_9471
2223,Order_No_16504
3142,Order_No_16163
1968,Order_No_18539
3064,Order_No_6286
936,Order_No_6122
1109,Order_No_20015
1935,Order_No_6667
587,Order_No_17865
1545,Order_No_18818
837,Order_No_27112
159,Order_No_26169
2487,Order_No_9614
753,Order_No_14010
2201,Order_No_3206
1202,Order_No_1843
1444,Order_No_2265
1614,Order_No_18179
1841,Order_No_24589
1847,Order_No_21840
1645,Order_No_13179
2301,Order_No_8793
1536,Order_No_23698
1135,Order_No_11305
1404,Order_No_22266
2641,Order_No_3386
1312,Order_No_21656
1265,Order_No_24447
2131,Order_No_14736
2169,Order_No_2769
1739,Order_No_26286
544,Order_No_23425
1871,Order_No_2307
2623,Order_No_15847
3053,Order_No_341
1492,Order_No_20121
1556,Order_No_23115
1913,Order_No_1019
2720,Order_No_9797
746,Order_No_23687
2097,Order_No_7898
1360,Order_No_27930
3125,Order_No_22101
1953,Order_No_7143
2379,Order_No_25550
1586,Order_No_2430
612,Order_No_9259
1236,Order_No_25775
3531,Order_No_27000
2607,Order_No_3562
3378,Order_No_3834
845,Order_No_28050
1605,Order_No_4564
1558,Order_No_18590
2289,Order_No_12094
661,Order_No_22260
1210,Order_No_1152
1418,Order_No_22288
1349,Order_No_22638
1607,Order_No_16583
1705,Order_No_3876
1921,Order_No_14541
3716,Order_No_23704
2279,Order_No_27696
3052,Order_No_4087
1893,Order_No_13266
2867,Order_No_22646
2127,Order_No_11943
1620,Order_No_6739
136,Order_No_2336
1810,Order_No_17722
893,Order_No_7499
1739,Order_No_20228
1519,Order_No_7655
1237,Order_No_21241
938,Order_No_19340
1291,Order_No_24601
1991,Order_No_8349
1340,Order_No_11639
2810,Order_No_15751
87,Order_No_19087
481,Order_No_15822
1398,Order_No_21382
1587,Order_No_18697
1710,Order_No_16484
1668,Order_No_19889
2144,Order_No_15114
1226,Order_No_13952
1024,Order_No_9615
2975,Order_No_16596
1105,Order_No_9572
1392,Order_No_18077
1934,Order_No_27741
1782,Order_No_25342
1167,Order_No_26752
1031,Order_No_14659
1146,Order_No_27204
1327,Order_No_27632
532,Order_No_21355
2836,Order_No_26489
297,Order_No_14032
2004,Order_No_26949
868,Order_No_3013
1194,Order_No_12648
1423,Order_No_2952
1374,Order_No_16664
1483,Order_No_27657
1385,Order_No_10839
1331,Order_No_6320
74,Order_No_11605
2871,Order_No_15775
44,Order_No_5252
1429,Order_No_19011
436,Order_No_10683
707,Order_No_15767
1481,Order_No_10125
2525,Order_No_1780
1012,Order_No_1395
1924,Order_No_3415
567,Order_No_5263
1101,Order_No_6191
178,Order_No_6537
1366,Order_No_18416
1436,Order_No_28250
1587,Order_No_20308
1821,Order_No_4365
829,Order_No_17564
2461,Order_No_16245
51,Order_No_28161
226,Order_No_17127
2155,Order_No_8465
1961,Order_No_8855
2495,Order_No_3197
222,Order_No_10926
1810,Order_No_19899
1399,Order_No_14875
1040,Order_No_24283
2359,Order_No_12504
1350,Order_No_6490
1122,Order_No_23124
2670,Order_No_24948
1482,Order_No_557
2414,Order_No_4008
1888,Order_No_26050
1578,Order_No_18010
1367,Order_No_22588
2769,Order_No_13686
331,Order_No_15863
450,Order_No_23841
1474,Order_No_24356
3415,Order_No_17892
2349,Order_No_5074
2525,Order_No_4254
111,Order_No_27863
1698,Order_No_23195
534,Order_No_19275
1723,Order_No_8677
820,Order_No_11312
1365,Order_No_3768
679,Order_No_4518
1793,Order_No_8788
1183,Order_No_6651
2365,Order_No_10199
3351,Order_No_12643
1283,Order_No_11349
2061,Order_No_7475
1794,Order_No_21786
2028,Order_No_22526
2117,Order_No_5858
1001,Order_No_21843
964,Order_No_19003
1988,Order_No_11428
1834,Order_No_9790
1075,Order_No_5958
2745,Order_No_1584
400,Order_No_87
658,Order_No_17640
1024,Order_No_13646
-398,Order_No_23963
658,Order_No_15060
1258,Order_No_3406
1236,Order_No_27259
987,Order_No_15897
1570,Order_No_14016
987,Order_No_8539
2036,Order_No_9036
2196,Order_No_13316
1164,Order_No_26379
1931,Order_No_24334
601,Order_No_9210
700,Order_No_9930
2181,Order_No_7220
477,Order_No_5576
2690,Order_No_39
644,Order_No_6465
1491,Order_No_6429
2030,Order_No_19439
2158,Order_No_7683
492,Order_No_5723
102,Order_No_1536
2815,Order_No_5526
1146,Order_No_4095
1481,Order_No_6575
683,Order_No_20185
1860,Order_No_7939
1681,Order_No_19197
1698,Order_No_24755
1197,Order_No_8648
2439,Order_No_12190
1378,Order_No_13630
1385,Order_No_12549
269,Order_No_19540
1118,Order_No_25376
930,Order_No_19723
3086,Order_No_15760
1107,Order_No_2792
-287,Order_No_16686
1070,Order_No_16251
1086,Order_No_10240
1223,Order_No_14598
2038,Order_No_27411
1012,Order_No_10243
2407,Order_No_769
1324,Order_No_923
545,Order_No_7565
1618,Order_No_4850
1594,Order_No_5438
2678,Order_No_15858
1896,Order_No_27699
2177,Order_No_21586
2163,Order_No_20598
1172,Order_No_677
1708,Order_No_14213
114,Order_No_11397
399,Order_No_13490
824,Order_No_26563
949,Order_No_28091
1282,Order_No_282
2030,Order_No_13240
1520,Order_No_11454
2458,Order_No_18973
1896,Order_No_14912
865,Order_No_8624
1119,Order_No_26874
2834,Order_No_21486
1080,Order_No_6578
1657,Order_No_9873
2332,Order_No_13274
1785,Order_No_20741
1746,Order_No_20255
1994,Order_No_12310
523,Order_No_5117
2774,Order_No_18893
1113,Order_No_786
1442,Order_No_5745
1518,Order_No_5518
1365,Order_No_25758
2977,Order_No_15450
988,Order_No_16462
1538,Order_No_23107
394,Order_No_23679
2731,Order_No_13926
2248,Order_No_21677
1840,Order_No_3949
2778,Order_No_10169
1757,Order_No_5897
1620,Order_No_22325
124,Order_No_11296
1084,Order_No_16112
1285,Order_No_20966
716,Order_No_15758
1758,Order_No_5343
1733,Order_No_20993
1289,Order_No_25191
-341,Order_No_9145
2578,Order_No_24603
1064,Order_No_15630
754,Order_No_12216
2345,Order_No_12712
1777,Order_No_21576
1348,Order_No_23822
1522,Order_No_10675
1968,Order_No_1294
1639,Order_No_14310
906,Order_No_4032
3674,Order_No_7107
355,Order_No_15309
2410,Order_No_24187
1432,Order_No_22812
1509,Order_No_605
1148,Order_No_4198
1528,Order_No_17273
1250,Order_No_27576
1622,Order_No_20612
369,Order_No_17320
888,Order_No_23334
326,Order_No_11611
2052,Order_No_4443
841,Order_No_4514
3550,Order_No_19828
3250,Order_No_6459
2512,Order_No_18483
1190,Order_No_4504
3330,Order_No_7814
1036,Order_No_14554
1537,Order_No_7916
1096,Order_No_22231
1370,Order_No_23538
577,Order_No_13962
1625,Order_No_19650
2905,Order_No_26678
3658,Order_No_24273
1640,Order_No_4880
944,Order_No_7791
1592,Order_No_15866
1602,Order_No_2059
1497,Order_No_5899
1659,Order_No_14636
1083,Order_No_7286
1235,Order_No_8398
1134,Order_No_10001
1017,Order_No_1324
2479,Order_No_6596
2208,Order_No_16904
747,Order_No_5195
2663,Order_No_18430
1284,Order_No_5755
605,Order_No_22502
1552,Order_No_19956
620,Order_No_9812
479,Order_No_21781
791,Order_No_19719
960,Order_No_1220
1772,Order_No_7770
368,Order_No_20358
626,Order_No_16267
1420,Order_No_15725
1916,Order_No_14641
129,Order_No_17654
1816,Order_No_3571
782,Order_No_16851
75,Order_No_22252
539,Order_No_12892
1118,Order_No_9029
537,Order_No_23373
1846,Order_No_21832
1940,Order_No_14121
606,Order_No_6610
1989,Order_No_25857
-735,Order_No_3061
1738,Order_No_27749
946,Order_No_18092
2444,Order_No_25715
3042,Order_No_10350
1716,Order_No_8229
891,Order_No_27857
2292,Order_No_21721
2936,Order_No_24121
1748,Order_No_20879
1377,Order_No_17356
-405,Order_No_13869
2051,Order_No_17421
1446,Order_No_19906
981,Order_No_12999
1428,Order_No_14200
1624,Order_No_18895
1084,Order_No_14186
1290,Order_No_16825
2333,Order_No_19578
3576,Order_No_22169
1879,Order_No_8928
1438,Order_No_22970
3015,Order_No_5504
1994,Order_No_19277
972,Order_No_15396
1708,Order_No_18969
1289,Order_No_3980
1919,Order_No_17306
1012,Order_No_25747
925,Order_No_2749
-872,Order_No_2453
737,Order_No_8431
1036,Order_No_24710
3094,Order_No_1013
1158,Order_No_25574
1687,Order_No_984
2178,Order_No_18289
1985,Order_No_12289
1893,Order_No_9789
1207,Order_No_22418
1784,Order_No_20762
1152,Order_No_8354
1605,Order_No_12910
1223,Order_No_21283
1149,Order_No_21032
954,Order_No_10111
1493,Order_No_16188
10,Order_No_26761
-948,Order_No_25610
185,Order_No_20686
1454,Order_No_22107
1530,Order_No_7580
1930,Order_No_16847
1796,Order_No_1449
1901,Order_No_10022
1202,Order_No_8689
1590,Order_No_15490
549,Order_No_20643
2264,Order_No_23287
216,Order_No_25576
1576,Order_No_24590
2854,Order_No_2263
3085,Order_No_19336
1039,Order_No_18882
3148,Order_No_27766
1013,Order_No_7801
812,Order_No_19428
1265,Order_No_23924
4059,Order_No_15375
918,Order_No_17196
973,Order_No_19442
1846,Order_No_8680
1286,Order_No_9759
1740,Order_No_16868
357,Order_No_11783
1282,Order_No_5970
1466,Order_No_7186
3477,Order_No_9644
658,Order_No_27646
1669,Order_No_23592
1495,Order_No_3984
1763,Order_No_27071
1506,Order_No_5488
225,Order_No_25210
1108,Order_No_23985
1123,Order_No_18009
425,Order_No_25282
1160,Order_No_2029
1237,Order_No_17703
508,Order_No_22539
2921,Order_No_16883
2077,Order_No_17083
978,Order_No_10193
3485,Order_No_25629
407,Order_No_784
1867,Order_No_13429
2305,Order_No_3427
1215,Order_No_21473
2172,Order_No_1162
1652,Order_No_604
1935,Order_No_11781
895,Order_No_14298
2218,Order_No_9695
725,Order_No_6582
924,Order_No_25726
1924,Order_No_11901
1251,Order_No_27638
1316,Order_No_3773
2611,Order_No_16833
466,Order_No_15992
1774,Order_No_25710
2440,Order_No_27634
1881,Order_No_1867
997,Order_No_11273
1018,Order_No_25598
1659,Order_No_10946
568,Order_No_804
1876,Order_No_23033
1025,Order_No_8896
2118,Order_No_4580
1662,Order_No_127
2268,Order_No_13178
1202,Order_No_15234
1203,Order_No_8813
863,Order_No_20137
1155,Order_No_6985
1778,Order_No_12502
2148,Order_No_319
1414,Order_No_28068
982,Order_No_12463
2423,Order_No_19344
3439,Order_No_19624
694,Order_No_23577
1861,Order_No_21017
1033,Order_No_11014
1542,Order_No_26841
1233,Order_No_18107
1082,Order_No_9527
2733,Order_No_15093
522,Order_No_24254
972,Order_No_1434
3071,Order_No_7131
2292,Order_No_5297
243,Order_No_13640
3493,Order_No_11893
905,Order_No_22940
1429,Order_No_26272
665,Order_No_9408
1239,Order_No_15094
2345,Order_No_9956
1815,Order_No_21383
2081,Order_No_19182
5850,Order_No_16683
994,Order_No_16381
2123,Order_No_16445
1268,Order_No_6257
1296,Order_No_23651
1356,Order_No_13317
1781,Order_No_20291
1060,Order_No_22958
2797,Order_No_14227
2675,Order_No_11052
590,Order_No_4685
1834,Order_No_7783
2971,Order_No_14157
785,Order_No_21015
1210,Order_No_2556
1077,Order_No_14255
2720,Order_No_22151
2493,Order_No_10327
181,Order_No_10546
3172,Order_No_24729
1207,Order_No_9010
1695,Order_No_1964
1785,Order_No_24782
1831,Order_No_2574
1041,Order_No_21982
2723,Order_No_2550
2750,Order_No_17017
922,Order_No_15755
1231,Order_No_19444
2652,Order_No_3554
538,Order_No_3943
1513,Order_No_26262
1853,Order_No_25343
1387,Order_No_8346
2241,Order_No_7348
766,Order_No_16703
2252,Order_No_25165
1772,Order_No_11181
1647,Order_No_19522
977,Order_No_6242
1748,Order_No_16029
1102,Order_No_10140
1703,Order_No_19028
2774,Order_No_25988
614,Order_No_5306
2617,Order_No_15537
1556,Order_No_7132
1349,Order_No_4515
1122,Order_No_22468
2710,Order_No_26150
885,Order_No_8176
1341,Order_No_21218
1626,Order_No_12390
1802,Order_No_27507
1166,Order_No_4122
2993,Order_No_6798
1197,Order_No_26188
881,Order_No_19274
1412,Order_No_25521
1534,Order_No_24949
913,Order_No_16309
-106,Order_No_22873
1936,Order_No_2095
1301,Order_No_9436
1691,Order_No_18053
448,Order_No_1063
1285,Order_No_3875
931,Order_No_2647
1511,Order_No_7628
360,Order_No_20941
811,Order_No_22306
1834,Order_No_1563
711,Order_No_17036
1634,Order_No_22179
1475,Order_No_2109
1889,Order_No_2777
3124,Order_No_9379
2016,Order_No_3866
1034,Order_No_20297
1068,Order_No_10280
1299,Order_No_6937
1955,Order_No_9335
2350,Order_No_614
2861,Order_No_16042
714,Order_No_935
1754,Order_No_8282
1996,Order_No_8974
2479,Order_No_5904
602,Order_No_12844
498,Order_No_256
777,Order_No_14050
939,Order_No_4829
2526,Order_No_20977
610,Order_No_19789
586,Order_No_24015
1092,Order_No_23868
2418,Order_No_4842
1164,Order_No_22210
2837,Order_No_23354
1278,Order_No_6577
1168,Order_No_12378
1718,Order_No_25530
931,Order_No_24984
1974,Order_No_12714
1165,Order_No_26084
2009,Order_No_23984
1130,Order_No_2036
1449,Order_No_6670
619,Order_No_22080
394,Order_No_15856
249,Order_No_18926
1371,Order_No_21966
2975,Order_No_4115
1191,Order_No_8474
1285,Order_No_17315
673,Order_No_19890
516,Order_No_23923
3033,Order_No_8126
1865,Order_No_17643
600,Order_No_14091
1027,Order_No_11744
916,Order_No_16828
1535,Order_No_21117
1657,Order_No_27658
3510,Order_No_9340
1624,Order_No_27096
1687,Order_No_1501
2385,Order_No_1457
1452,Order_No_22930
953,Order_No_8646
1810,Order_No_9511
754,Order_No_26094
1397,Order_No_7002
701,Order_No_15749
2414,Order_No_2644
1038,Order_No_18704
1195,Order_No_10368
1184,Order_No_3453
1117,Order_No_27734
1128,Order_No_24946
3099,Order_No_27772
1053,Order_No_11578
1026,Order_No_12446
855,Order_No_2705
593,Order_No_7376
1829,Order_No_1066
1277,Order_No_3756
2031,Order_No_2753
2107,Order_No_16430
1957,Order_No_10795
1723,Order_No_19401
1984,Order_No_4572
1310,Order_No_2411
2491,Order_No_9352
525,Order_No_21900
1313,Order_No_24512
1404,Order_No_25323
790,Order_No_14387
446,Order_No_18508
2500,Order_No_20206
1526,Order_No_18088
2443,Order_No_7280
1559,Order_No_23298
1001,Order_No_3003
303,Order_No_26178
717,Order_No_6280
2508,Order_No_6436
959,Order_No_21055
1569,Order_No_24393
715,Order_No_13353
1639,Order_No_6887
1306,Order_No_25408
1097,Order_No_27884
2019,Order_No_19519
824,Order_No_3290
2549,Order_No_23436
1760,Order_No_18966
764,Order_No_829
1591,Order_No_1880
2181,Order_No_23337
1587,Order_No_7576
2651,Order_No_8810
2081,Order_No_15795
1414,Order_No_19469
2177,Order_No_2487
1716,Order_No_17502
307,Order_No_17132
4722,Order_No_21254
2519,Order_No_10442
978,Order_No_10312
1023,Order_No_27410
1035,Order_No_11326
5727,Order_No_12760
619,Order_No_6499
2497,Order_No_12145
1447,Order_No_4070
4150,Order_No_21361
732,Order_No_19555
1699,Order_No_7370
2422,Order_No_27330
1901,Order_No_6142
1374,Order_No_14565
2328,Order_No_26825
995,Order_No_1174
409,Order_No_13671
310,Order_No_19314
1352,Order_No_16314
1630,Order_No_6211
1597,Order_No_12870
1791,Order_No_27248
1816,Order_No_4654
3065,Order_No_15448
1276,Order_No_13690
839,Order_No_23109
2392,Order_No_27343
3119,Order_No_19496
249,Order_No_18710
2185,Order_No_6986
1501,Order_No_16459
2226,Order_No_28208
537,Order_No_16564
1377,Order_No_23282
1385,Order_No_8309
2095,Order_No_16616
1277,Order_No_21391
2034,Order_No_28223
1638,Order_No_10533
1866,Order_No_9456
2263,Order_No_2221
2797,Order_No_25138
1444,Order_No_18298
610,Order_No_9510
2575,Order_No_2485
547,Order_No_27327
796,Order_No_18819
2131,Order_No_2028
2444,Order_No_6571
2416,Order_No_28006
1053,Order_No_24967
2792,Order_No_1444
1841,Order_No_20501
1827,Order_No_15671
883,Order_No_1033
1208,Order_No_2136
1609,Order_No_1601
2201,Order_No_3174
42,Order_No_23725
1135,Order_No_20705
2994,Order_No_8881
1843,Order_No_23904
1247,Order_No_4742
308,Order_No_10182
-1204,Order_No_20877
1166,Order_No_20107
376,Order_No_25174
1305,Order_No_992
1102,Order_No_25564
1805,Order_No_13620
1786,Order_No_25209
1076,Order_No_7631
1769,Order_No_6886
952,Order_No_2227
1916,Order_No_9777
1816,Order_No_5450
1417,Order_No_26499
791,Order_No_15936
1891,Order_No_8849
3273,Order_No_11169
705,Order_No_4819
2840,Order_No_18974
1475,Order_No_5098
1532,Order_No_27586
1781,Order_No_15052
1556,Order_No_3052
1116,Order_No_11165
2410,Order_No_5241
1947,Order_No_3395
1609,Order_No_22174
2389,Order_No_12260
1574,Order_No_18668
2877,Order_No_27246
1590,Order_No_15071
1742,Order_No_22211
1539,Order_No_26363
1816,Order_No_5779
1547,Order_No_13413
1559,Order_No_12810
1272,Order_No_26119
1477,Order_No_13151
1600,Order_No_10631
2363,Order_No_3649
913,Order_No_14329
133,Order_No_2248
408,Order_No_15215
1228,Order_No_10649
2546,Order_No_12531
1144,Order_No_20424
411,Order_No_25851
1814,Order_No_1657
1081,Order_No_9925
4310,Order_No_7860
1534,Order_No_15403
965,Order_No_8544
720,Order_No_18308
97,Order_No_23126
1356,Order_No_26875
-27,Order_No_11533
812,Order_No_8815
1154,Order_No_24322
1204,Order_No_20793
2449,Order_No_3402
1594,Order_No_18786
1001,Order_No_17095
2584,Order_No_16441
1237,Order_No_22795
952,Order_No_19926
1447,Order_No_9111
2834,Order_No_27945
1283,Order_No_5614
1156,Order_No_15547
2270,Order_No_25790
932,Order_No_20766
3266,Order_No_20374
1560,Order_No_18385
1628,Order_No_18143
1097,Order_No_4835
2446,Order_No_21379
1616,Order_No_5444
1414,Order_No_3401
2671,Order_No_6604
764,Order_No_6496
2823,Order_No_213
1567,Order_No_10714
703,Order_No_7152
1537,Order_No_82
57,Order_No_1790
2954,Order_No_13605
3066,Order_No_26575
3580,Order_No_27651
2301,Order_No_3745
791,Order_No_25540
1658,Order_No_22822
50,Order_No_2919
2225,Order_No_27152
1687,Order_No_17411
979,Order_No_23888
2553,Order_No_19412
1649,Order_No_16996
2093,Order_No_18132
1060,Order_No_8127
2691,Order_No_7491
268,Order_No_11113
1690,Order_No_23426
1198,Order_No_27153
1591,Order_No_5242
1563,Order_No_8602
-74,Order_No_9363
775,Order_No_13981
1373,Order_No_6513
88,Order_No_1027
1072,Order_No_12745
475,Order_No_20160
3251,Order_No_11461
3845,Order_No_22626
2084,Order_No_19672
1621,Order_No_8299
2520,Order_No_26611
232,Order_No_17269
2296,Order_No_21804
430,Order_No_5698
501,Order_No_27035
2911,Order_No_17814
1610,Order_No_12374
-147,Order_No_280
2592,Order_No_15243
1877,Order_No_22552
2294,Order_No_12938
945,Order_No_17756
1715,Order_No_9958
1426,Order_No_21572
4944,Order_No_13788
726,Order_No_21698
1688,Order_No_4568
1294,Order_No_18326
1209,Order_No_22621
2052,Order_No_22518
671,Order_No_21981
2619,Order_No_19943
1789,Order_No_1906
1603,Order_No_27227
1203,Order_No_3704
1260,Order_No_10015
1443,Order_No_4591
2102,Order_No_11021
2257,Order_No_9435
1834,Order_No_12606
1758,Order_No_8719
472,Order_No_20106
3249,Order_No_20484
3382,Order_No_10293
741,Order_No_10503
2737,Order_No_26562
1336,Order_No_10494
927,Order_No_3451
1192,Order_No_3553
1676,Order_No_9347
624,Order_No_18970
1340,Order_No_11999
998,Order_No_19051
1338,Order_No_19702
2171,Order_No_20102
1390,Order_No_5653
4002,Order_No_10319
1579,Order_No_26622
552,Order_No_18514
1046,Order_No_24105
552,Order_No_13407
667,Order_No_6773
847,Order_No_4090
2417,Order_No_19925
899,Order_No_7374
2154,Order_No_23765
1690,Order_No_6304
1227,Order_No_25566
2056,Order_No_6898
1527,Order_No_16909
1914,Order_No_22681
1536,Order_No_10858
2504,Order_No_8577
696,Order_No_21237
894,Order_No_26568
2049,Order_No_18310
1071,Order_No_12882
460,Order_No_4578
200,Order_No_21869
3203,Order_No_5128
1203,Order_No_2609
4615,Order_No_241
2563,Order_No_4475
1973,Order_No_5833
2253,Order_No_20408
542,Order_No_2820
1174,Order_No_20896
1168,Order_No_15377
1502,Order_No_14132
1423,Order_No_16129
1233,Order_No_9067
789,Order_No_15157
1793,Order_No_16408
3529,Order_No_5874
2118,Order_No_21277
1171,Order_No_8317
419,Order_No_2834
1323,Order_No_7905
1278,Order_No_3416
892,Order_No_22709
2604,Order_No_10550
3925,Order_No_24066
2177,Order_No_11359
1406,Order_No_8030
2213,Order_No_1166
1978,Order_No_14906
1288,Order_No_9557
1134,Order_No_7864
1500,Order_No_944
1320,Order_No_19029
1539,Order_No_9396
2510,Order_No_6593
2335,Order_No_13737
1943,Order_No_5225
867,Order_No_8988
1925,Order_No_10010
2155,Order_No_13725
1162,Order_No_14420
4119,Order_No_1399
2281,Order_No_17777
1210,Order_No_27119
722,Order_No_27768
2218,Order_No_16881
1927,Order_No_14788
1207,Order_No_14603
565,Order_No_14031
1785,Order_No_9365
1596,Order_No_23718
1210,Order_No_12276
1768,Order_No_17937
1159,Order_No_27942
-112,Order_No_8919
855,Order_No_12428
890,Order_No_7550
-150,Order_No_12442
2371,Order_No_25572
1235,Order_No_24525
1514,Order_No_13063
3408,Order_No_3122
625,Order_No_9220
263,Order_No_18709
1004,Order_No_18935
995,Order_No_17565
1367,Order_No_6849
1934,Order_No_1490
76,Order_No_25155
1558,Order_No_6053
2115,Order_No_2767
2521,Order_No_9943
835,Order_No_10518
1776,Order_No_14202
2065,Order_No_6287
1556,Order_No_21467
1800,Order_No_22083
1092,Order_No_11424
1418,Order_No_13944
2785,Order_No_1625
2535,Order_No_5941
217,Order_No_7413
700,Order_No_24095
180,Order_No_8003
632,Order_No_14979
2368,Order_No_9827
757,Order_No_1945
1462,Order_No_8280
3142,Order_No_22920
1605,Order_No_12485
1848,Order_No_16059
1009,Order_No_11664
1269,Order_No_1794
1861,Order_No_7099
3796,Order_No_9324
1777,Order_No_21112
-218,Order_No_23293
3252,Order_No_27203
1558,Order_No_24178
1358,Order_No_591
2365,Order_No_9437
1547,Order_No_18634
1575,Order_No_24563
482,Order_No_19708
514,Order_No_7490
1294,Order_No_10322
816,Order_No_21465
931,Order_No_17859
1106,Order_No_8954
1495,Order_No_14951
1339,Order_No_17057
1728,Order_No_27933
841,Order_No_27122
1512,Order_No_7425
1550,Order_No_9444
1670,Order_No_15606
2062,Order_No_20379
942,Order_No_484
1094,Order_No_20145
2395,Order_No_2478
1780,Order_No_17073
1239,Order_No_1291
950,Order_No_24396
1575,Order_No_839
1787,Order_No_1469
1564,Order_No_1108
632,Order_No_25326
509,Order_No_10588
286,Order_No_18754
2153,Order_No_10868
1995,Order_No_25761
1754,Order_No_15350
1093,Order_No_5702
1258,Order_No_2844
1244,Order_No_18348
1450,Order_No_23445
1270,Order_No_10595
492,Order_No_17462
3906,Order_No_20071
2424,Order_No_21442
1666,Order_No_18851
1305,Order_No_13934
-507,Order_No_15392
1902,Order_No_15723
1615,Order_No_4532
782,Order_No_14246
2331,Order_No_17518
1452,Order_No_4382
1375,Order_No_8824
916,Order_No_19377
1733,Order_No_8933
251,Order_No_24748
1929,Order_No_18151
3729,Order_No_17858
958,Order_No_16873
1738,Order_No_26357
1799,Order_No_21124
1287,Order_No_14859
2625,Order_No_5333
2036,Order_No_16956
1300,Order_No_23826
1327,Order_No_2826
1988,Order_No_4720
2138,Order_No_26939
1113,Order_No_16566
788,Order_No_21655
1002,Order_No_15872
1089,Order_No_1602
4214,Order_No_917
670,Order_No_1252
1861,Order_No_20164
1292,Order_No_27263
1334,Order_No_14687
1043,Order_No_14857
722,Order_No_11919
2362,Order_No_13175
3091,Order_No_20929
1082,Order_No_23307
1232,Order_No_7701
1400,Order_No_24720
2844,Order_No_8223
273,Order_No_14229
1683,Order_No_15407
1765,Order_No_2630
1640,Order_No_7290
1687,Order_No_25312
1502,Order_No_9606
1845,Order_No_13320
985,Order_No_28084
1051,Order_No_20340
1850,Order_No_12359
1894,Order_No_22773
1425,Order_No_20313
1040,Order_No_25620
510,Order_No_18657
1553,Order_No_18059
1546,Order_No_8808
1069,Order_No_15691
2231,Order_No_11285
184,Order_No_10155
2054,Order_No_11738
2103,Order_No_11666
2439,Order_No_17129
1147,Order_No_19657
2729,Order_No_22412
464,Order_No_1493
79,Order_No_17352
817,Order_No_10798
2857,Order_No_24457
745,Order_No_328
1628,Order_No_6457
956,Order_No_14735
2540,Order_No_24829
1914,Order_No_8601
1216,Order_No_10477
3669,Order_No_21153
905,Order_No_14433
895,Order_No_17804
2643,Order_No_8780
1023,Order_No_20167
2363,Order_No_8541
1599,Order_No_26424
619,Order_No_6143
3011,Order_No_15039
1001,Order_No_16693
-157,Order_No_1734
1757,Order_No_18190
1523,Order_No_14074
842,Order_No_27533
1120,Order_No_21424
2548,Order_No_17391
-581,Order_No_27171
2608,Order_No_6775
1293,Order_No_24103
1482,Order_No_20453
1551,Order_No_14571
1006,Order_No_11761
1684,Order_No_14418
260,Order_No_16659
1663,Order_No_473
712,Order_No_1742
399,Order_No_5217
860,Order_No_1622
2139,Order_No_4588
1742,Order_No_5896
1495,Order_No_9319
2165,Order_No_4844
1241,Order_No_1675
1269,Order_No_20042
2874,Order_No_7936
2185,Order_No_23555
1992,Order_No_13216
1878,Order_No_6048
525,Order_No_16397
1791,Order_No_3872
1304,Order_No_7124
2903,Order_No_4171
2024,Order_No_17672
1156,Order_No_2253
2884,Order_No_3628
635,Order_No_14569
1470,Order_No_720
1038,Order_No_1544
2213,Order_No_1961
2985,Order_No_8392
3343,Order_No_3754
968,Order_No_2897
900,Order_No_186
632,Order_No_8274
1525,Order_No_5564
2087,Order_No_17175
515,Order_No_22979
2005,Order_No_9064
2962,Order_No_5750
2016,Order_No_9041
1293,Order_No_14881
3201,Order_No_24402
464,Order_No_3802
1342,Order_No_3750
1962,Order_No_6857
2261,Order_No_4490
2223,Order_No_3268
1016,Order_No_22459
2489,Order_No_16102
3931,Order_No_18701
3173,Order_No_25693
776,Order_No_4949
2075,Order_No_25315
1040,Order_No_19084
2158,Order_No_2166
523,Order_No_13328
1431,Order_No_5108
1143,Order_No_17333
1258,Order_No_5392
876,Order_No_10337
1572,Order_No_27433
1403,Order_No_1050
1794,Order_No_22721
2935,Order_No_24918
817,Order_No_9151
3009,Order_No_24248
1566,Order_No_21369
2610,Order_No_2864
1308,Order_No_26898
1545,Order_No_5380
1298,Order_No_19598
881,Order_No_17470
999,Order_No_12055
1400,Order_No_11098
477,Order_No_11340
673,Order_No_317
1228,Order_No_9351
798,Order_No_9075
2481,Order_No_6879
1598,Order_No_24029
1223,Order_No_5
1845,Order_No_5912
1834,Order_No_28090
2010,Order_No_2967
1023,Order_No_20249
905,Order_No_24432
2015,Order_No_19238
1014,Order_No_6307
851,Order_No_15284
1646,Order_No_21425
69,Order_No_13519
4264,Order_No_24222
1839,Order_No_9975
1138,Order_No_27364
922,Order_No_1824
1133,Order_No_9835
1586,Order_No_3333
2580,Order_No_5132
-1007,Order_No_15343
324,Order_No_6446
836,Order_No_5704
2033,Order_No_6971
1194,Order_No_16933
1072,Order_No_27180
1422,Order_No_18376
1960,Order_No_20097
297,Order_No_21595
786,Order_No_27794
1431,Order_No_17696
1616,Order_No_16085
1411,Order_No_4523
2482,Order_No_4148
464,Order_No_17107
